Average,A central value representative of a data set (see arithmetic mean).
Social engineering,Techniques practiced by attackers to deceive users into divulging confidential information (such as user IDs or passwords) or giving access to a computer system. 
Technical factors,Weaknesses (exploits) in a computer system which allow attackers to breach security. 
Threat,Any cybersecurity risk to a system. 
Trojan,A type of malware which hides its true purpose by appearing to be a legitimate application. 
Two-factor authentication,"A method of controlling access to computers by requiring users to provide two separate forms of authentication, usually one is a password, the other is a piece of information held on the user, such as a hardware token or a message sent to their mobile phone. "
Virus,A type of self-replicating malware which attaches itself to programs or data. 
Vulnerability window,The time between a vulnerability being created (usually inadvertently) in a computer program or system and the time it is removed (usually by a bug fix). 
Vulnerability,A weakness in a computer system that can be exploited by an attacker. 
Worm,A type of self-replicating malware which spreads between computers using network connections. 
Zero day, An undisclosed vulnerability in a computer system. 
Zombie,A computer connected to a network which has been compromised by an attack and instructed to perform malicious tasks. Zombies are often members of botnets. 
Top-level decomposition,"Top-level decomposition (also: initial decomposition): The breaking down of a problem into a set of sub-problems, the goal being to allow us to solve a problem by addressing a set of simplerproblems. "
Certificate authority,A trusted third party responsible for issuing digital certificates after being satisfied that the holder of the certificate is genuine. 
Ciphertext,Data rendered illegible by encryption which can be returned to plaintext by decryption. 
Collision,An unwanted phenomenon in hashing where two different pieces of data produce the same hash value meaning that it is impossible to distinguish the two from their hashes alone. 
Cryptography,A field of mathematics concerned with secure transmission of data. 
Cryptocurrency,A form of currency which relies on strong encryption to secure transactions between users.
De-facto standard (DES),"A standard way of operating which is not mandated by a formal standards document, but which has become the dominant method through market dominance. DES became a de facto standard because it was backed by the United States government and by IBM the largest computer company in the world when DES was introduced. "
Decryption,The process of reverting ciphertext to plaintext using a decryption algorithm and a valid key. 
Digital certificate,A method of distributing public keys that allow for guarantees of their authenticity. Certificates are issued by certificate authorities who validate the identity of the public key itself. 
Digital Encryption Standard (DES),A symmetric encryption algorithm designed for the United States government and approved in 1977. DES uses 56-bit keys and is now considered obsolete. It has largely been replaced by Triple-DES and AES. 
Digital signature,"A document (or hash of a document), encrypted using a private key and which can be decrypted by the associated public key to demonstrate its authenticity. "
Distributed ledger,A permanent record of transactions which is distributed amongst all the users rather than being located on a single computer. A blockchain is an example of a distributed ledger. 
Double-spend problem,The possibility that a cryptocurrency token can be spent more than once. A successful cryptocurrency must solve the double-spend problem. 
Encryption,The process of transforming plaintext to ciphertext using an encryption algorithm and a valid key. 
Hardware Security Module (HSM),"A specialised, highly-secure computer designed specifically for managing encryption keys, encrypting and decrypting data and hashing. Amongst other purposes, HSMs are used to safeguard passwords used to log in to computers. "
Key,"A piece of information supplied as an input either to an encryption algorithm to transform plaintext into ciphertext, or to a decryption algorithm to transform ciphertext into plaintext. "
Key bundle (Triple DES),A set of two or three DES keys used to perform encryption or decryption using the Triple DES algorithm. The key bundle is either 112 or 168-bits long. 
Key chain,"A specialised form of database used to hold encryption keys. Key chains are found in individual applications, operating systems and in computer hardware. The key chain is itself encrypted to prevent keys being misused. "
Key distribution problem,"A weakness of symmetric cryptography whereby senders and receivers must have identical copies of the encryption keys. This can only happen if they meet or use a trusted courier to send a key from one to the other, both of which may be impossible, dangerous or expensive. "
Key length,The length of an encryption key expressed in bits.
Key pair (asymmetric cryptography),"Two, related keys used for asymmetric cryptography known as the private key and the public key. "
Key stretching,"A method of improving computer security, such as the process of validating a password, by increasing the time it takes to perform a task. Key stretching can be used to prevent brute force attacks against weak passwords. "
Master secret,A short piece of data derived from the pre-master secret and data from a server computer engaged in a TLS/SSL communication.
Mining (Bitcoin),The process of validating transactions in the Bitcoin network by finding valid hashes. 
Nonce (Bitcoin),A random value added to a block of pending transactions in the Bitcoin before hashing.
Plaintext,Legible data unprotected by encryption.
Private key,One member of an asymmetric encryption key pair. The private key is retained by its creator and never distributed. The private key can only decrypt messages encrypted by the corresponding public key. Private keys are used to encrypt data for digital signatures. 
Pre-master secret,A short piece of data used to generate symmetric keys which is created by the client computer engaged in a TLS/SSL communication.
Proof-of-work,"A piece of data which is extremely time consuming to generate, but can be quickly verified. Proof-of-work can be used to prevent abuse of computer resources (such as slowing down the sending of email to deter spammers), or as a way of regulating resources (such as mining new Bitcoins)."
Circuit (Tor),A temporary communications channel established between the sender and recipient of data using intermediate nodes in the Tor network. 
Public key,"One member of an asymmetric encryption key pair. The public key is distributed to other users who wish to exchange encrypted messages with the key holder. The public key is most commonly used to encrypt plaintext, but are also used to decrypt digital signatures. "
Revocation (encryption keys),"The process of removing public keys from use because the corresponding private key cannot be used (it may have been lost or stolen, or the user may simply be unable to remember how to use it). A revoked key cannot be considered secure. "
RSA algorithm,"The first practical asymmetric encryption algorithm named after its creators Ron Rivest, Adi Shamir and Leonard Adleman. The RSA algorithm had previously been discovered by British cryptographers although its existence was kept secret. "
Salt,A random value added to a password when it is first created. The combined password and salt are then hashed and the hash and the salt stored in a secure file. 
Secure Socket Layer (SSL),A protocol for exchanging secure data between a client and server over an insecure network. SSL was widely adopted by web browsers which allowed for the development of e-commerce sites. SSL has been replaced by Transport Layer Security in most applications.
Session key,A single-use symmetric encryption key used to encrypt and decrypt data during a single communication session.
Strong encryption,Any type of cryptography which is resistant to attack by having no known weaknesses in its algorithms and which uses large keys to resist brute force attacks. 
Symmetric cryptography,A subsection of cryptography where encryption and decryption are performed by the same key.
Transport Layer Security (TLS),A protocol for exchanging secure data between a client and server over an insecure network. TLS has replaced Secure Socket Layer for most applications since it offers greater levels of security. 
Triple DES (3DES),A stop-gap method of improving DES encryption against brute force attacks by encrypting data three times using a key bundle of either two or three DES keys.
Trusted third party,A person or organisation who aids interactions between two other people or organisations who both trust the third party. Certificate authorities are an example of a trusted third party who authenticate the creators of digital certificates. 
Backdoor,"A secret method of bypassing any form of computer authentication. In the context of computer encryption, a backdoor is either a second key that can perform decryption without the knowledge of the key holder, or a weakness in the cryptographic algorithm which allows plaintext to be recovered without using the original key or brute force.(See also golden key) "
Clipper chip,"A microchip that implementing the Skipjack symmetric encryption system which formed part of a key escrow encryption proposed in the 1990s, but never adopted when weaknesses were found in the implementation. "
Crypto wars,An unofficial term for the conflict between people and organisations seeking greater security through the widescale use of cryptography and demands of governments seeking to restrict cryptography to allow for criminal investigations and intelligence operations. 
Deep packet inspection,"A collection of processes which examine the header and (more usually) the content of network packets to learn more about their contents, origin and destination. Depending on the result of deep packet inspection, packets may be allowed to continue to their destination, be blocked or be redirected. Deep packet inspection may be used to investigate network problems, as part of criminal investigations, identify malware or spam, for targeting adverts, or (as in the case of the Golden Shield) perform censorship. "
Darknet,A computer network that does not use standard communications protocols (such as the Internet's TCP/IP). The Tor network is an example of a darknet. 
Domain Name System (DNS),The hierarchical naming system for the Internet that allows domain names (e.g. open.ac.uk) to be translated into IP numbers by DNS servers. 
Deanonymisation,"A process by which supposedly anonymous users can be identified from their network traffic, such as by identifying who they communicate with, their geographic location or the types of data they exchange. "
DNS Server,Specialised internet servers responsible for translating hostnames (URLs) into IP numbers so that packets can be addressed to their destination. 
Deep web,Any part of the world-wide web that is not indexed by search engines. 
Edge Router,A specialised form of network router responsible for connecting a network to an external network.
Directory node (Tor),Any computer on the Tor network maintaining a directory of other nodes currently connected to the network. Directory listings are most commonly used to establish new circuits across the Tor network 
Filter bubble,A term invented by the internet activist Eli Pariser to describe an internet phenomenon where computers use past behaviour and preferences of users to provide them with personalised information skewed to their personal tastes and limiting their exposure to conflicting or uncomfortable information. 
End-to-end encryption,Any form of communication where data is encrypted by the sender and recipient and cannot be read whilst in transit. 
Routing table,Rules held by a network router used to forward data packets towards their destination. 
Exit node (Tor),The final node in a Tor circuit where data leaves the Tor network and enters the conventional Internet.
Family key (Clipper),A symmetric key shared amongst all Clipper-equipped devices which is used to encrypt a LEAF containing a session key which has previously been equipped by a unit key.
Golden key,"A hypothetical ""?backdoor' into encrypted data that would be reserved for government usage as part of criminal investigations. "
Guard node (Tor),The first node in a Tor circuit where data enters the Tor network. 
Hidden service,An online service which can only be reached using the Tor network. 
Key escrow,"An arrangement, usually mandated by law or company policy, where copies of decryption keys are deposited with a trusted third party that allows them to be used to recover plaintext without the permission of the key holder. The Clipper Chip was an example of a key escrow system."
Law-Enforcement Access Field LEAF (Clipper),A piece of ciphertext generated by the Clipper encryption system containing an encrypted session key. The LEAF was intended to only be used by law-enforcement agencies as part of their investigations. 
Data Protection Officer (DPO),"An employee of an organisation storing personal data who is required to ensure that organisation's processing activities comply with the relevant data protection laws. The Data Protection Act 1998 encourages the creation of this role, but does not require it; GDPR requires any organisation employing more than 250 people to employ at least one DPO."
Key recovery,The process by which a trusted third party in a key escrow system releases decryption keys. A legal process in certain countries where key holders are required to release decryption keys to government bodies (see Section 49 Notice).
Marketplace,A Tor hidden service offering goods for sale (often illegal). 
Data Protection Principles,A set of rules describing how personal data may be stored and used to remain compliant with the Data Protection Act 1998. Schedule I of the DPA lays down eight fundamental principles of data protection that must be followed by anyone or any organisation storing personal da ta in order to remain complaint with the DPA. 
Node (Tor),Any computer participating in the Tor network. Nodes can be further subdivided depending on their role in the network. 
Error-based SQLi (SQLi),A form of hack using error messages generated by SQL databases to learn more about a database. Error-based SQLi is often performed as a first stage of an attack on a database to expose potential vulnerabilities that may be exploited using other techniques. 
.onion address (Tor),"The location of a hidden service accessed through the Tor network. The addresses are always 16 characters long and are derived by hashing the unique public key of the server hosting the hidden service. Since .onion addresses cannot be converted into IP addresses, they cannot be browsed using a conventional web browser. "
Fair processing code,"A set of rules laid out in the first principle of the Data Protection Act 1998 explaining how personal data can be acquired, processed and stored in a manner that is fair to the person whose data is being processed, and that is consistent with the law. "
Onion (Tor),A form of ciphertext produced by repeatedly re-encrypting data using a series of keys. The plaintext is recovered by decrypting the data in the reverse order to which encryption was originally applied. Onions are used to transmit data across the Tor network.  
General Data Protection Regulation (GDPR),An EU regulation standardising data protection within the Union and which replaces national data protection laws. GDPR entered into effect in April 2018.  
Information Commissioner's Office (ICO),A non-departmental government organisation created by the Data Protection Act (1998) to oversee the operation of the DPA as well as other pieces of legislation including the Freedom of Information Act (2000). A key role of the ICO is adjudicating on possible breaches of the DPA and issuing penalties for non-compliance. 
Personal data,Defined in the Data Protection Act (1998) as any data relating to a living person which can be used to identify that individual. 
Onion routing (Tor),"A technique for anonymous communication over the Tor network. Data is hidden within layers of encryption, analogous to layers of anonion. Individual nodes on the network remove and apply encryption allowing data to be routed to its destination, but always protected against eavesdroppers. "
Relay node (Tor),A node in a Tor circuit responsible for passing encrypted data to another node.  
Query,"A command used to access, create, modify or delete data inside a database. Queries are written in specialised query languages. "
Pseudonymisation,"Any process which converts identifiable information into pseudonyms so that personal information is obscured from unauthorised access, but which can be restored when needed. Widely used where personal data is exchanged between organisations. "
Query language,A specialised computer language for requesting information from a database. The most common query language is SQL. 
Regulation of Investigatory Powers Act 2000 (RIPA),"An Act of Parliament regulating the ability of public bodies to perform surveillance and investigations. Amongst other powers, RIPA regulates the interception of communications which includes government access to encryption keys (see Section 49 Notice). "
Query string,"A part of a web-site URL that does not refer to the location of a page, but is instead used to transmit data, such as that from an on-screen form, to a server for processing. A query string follows a question mark symbol (?) and consists of one or more parameters and their values. If multiple parameters are contained in a query string, they are separated by ampersands (&)."
Sanitising queries,A process in which a server script checks database queries for potentially dangerous commands before they are processed by the database application itself. This is done to prevent SQLi attacks on the database. 
Statutory Authority (SA),"An authority responsible for enforcing aspects of GDPR. Every EU member state must have a single SA. In the UK, the SA will assume the role currently held by the Information Commissioner's Office."
Structured Query Language (SQL),"The most widespread of all database query languages. SQL was originally developed by IBM, but is now an international standard supported by most large database applications. "
Section 49 Notice (RIPA),A notice issued by a UK government agency as part of an investigation demanding access to encryption keys or to decrypted data. 
SQL Injection Attack (SQLi),"A collection of methods for attacking databases using SQL queries to extract, modify or delete data. "
Skipjack,"An 80-bit symmetric encryption algorithm developed by the NSA for the Clipper system. Following the discovery of serious flaws within Skipjack, the algorithm is no longer considered secure. "
Border Gateway Protocol (BGP),"A networking protocol designed to allow traffic to move across the internet. Since the internet is made up of a large number of autonomous networks, BGP is required by edge routers in order to route data from one network to another. "
Surface web,The part of the World-wide web capable of being indexed by search engines. 
Tor,A network designed to preserve user privacy in which data is exchanged through multiple routers using onion routing. 
Traffic analysis,"A collection of techniques for examining patterns in data passing over a network which can help determine its origin, destination and purpose even if the data is encrypted and cannot be read. Traffic analysis can be used to deanonymise users."
Trusted third party (trusted third person), A mutually acceptable party which allows two other parties to perform a transaction. Trusted-third parties are entrusted with securely storing encryption keys by key escrow schemes.
"Tumbler (mixer, mixing service) (Bitcoin)",An online service for further anonymising Bitcoin transactions. Individual transactions are broken into smaller amounts and mixed with random fragments of other transactions before being sent to the recipient. 
Unit key (Clipper),A symmetric encryption key unique to each Clipper device. When a device was constructed a copy of its unit key would be held in a key escrow arrangement with the key divided between two government agencies. The unit key encrypted the session key used to encrypt a Clipper message. The resulting ciphertext was then further encrypted into a LEAF using the device's family key.
Aggravated offence,A legal term for where circumstances increase the severity of an offence. Sections (2) and (3) of the Computer Misuse Act 1990 include aggravated offences where unauthorised access to a computer is used to commit a further crime (e.g. fraud or blackmail). 
Blind injection (SQLi),A form of attack in which the attacker does not know the underlying structure of an SQL databases. Instead they issue commands making assumptions about the structure and contents of the database in the hope that they will work. (c.f. error-based SQLi) 
Computer Misuse Act 1990 (CMA),"The most important British law regarding computer hacking. The CMA created three new offences of unauthorised access to a computer; unauthorised access with the intention of committing further offences; and, actions affecting the operation of a computer. "
Data Protection Act 1998 (DPA),"The most important UK law concerned with protecting personal data. The DPA uses eight principles of data protection to provide good-practice on the acquisition, storage, use and destruction of personal data. The DPA is regulated by the Information Commissioner's Office. At the time of writing, the DPA is in the process of being replaced by new legislation incorporating the General Data Protection Regulation."
ambient data (see latent data),the data in slack space.
cluster,"an amount of memory on a disk drive that consists of a fixed number of sectors. Commonly a cluster contains 4 or 8 sectors. As a file is written to the disk, the file system allocates the appropriate whole number of clusters to store the file's data. "
data carving,(also see file carving) a data recovery technique. It allows for users to recover data without file system allocation information by searching through raw sectors and identifying those belonging to a particular file type by specific known file signatures. 
dead system imaging,the process of taking a disk image from a computer that is not running. 
defrag,"(also called defragmentation) An operating system process for optimising the physical location of files on a disk. As a disk is used, files increasing stored in fragments that can be scattered over the surface of the disk; such fragmentation increases the length of time taken to read files. Defragmentation joins file fragments together so a file is stored in continuous memory. "
defragmentation,"(also called defrag). An operating system process for optimising the physical location of files on a disk. As a disk is used, files increasing stored in fragments that can be scattered over the surface of the disk; such fragmentation increases the length of time taken to read files. Defragmentation joins file fragments together so a file is stored in continuous memory. "
degaussing,The process of applying a strong magnetic field to a magnetic storage device in order to erase any information held on that device.
digital fingerprint,a string of binary digits based on a hash code that uniquely identifies a data file (See also hash code).
digital forensics,(also called forensic computing). A branch of forensic science that is concerned with obtaining legal evidence from computer systems. 
disk image,"a single file containing the complete contents and structure of a storage device (such as a disk). Disk images are often used for distributing very large programs (especially on the Apple Macintosh), or used to replicate a disk for forensic purposes. "
Enhanced Meta File (.EMF),a file used by the Windows operating system to store graphical information. It can be opened by MS Paint and many other applications.
File Allocation Table (FAT),a table in a FAT32 file system that holds information about where a file is stored on a hard disk or in an SSD. 
FAT32,a file system developed for Windows that is now mainly used by USB flash drives.
file carving,(also see data carving) a data recovery search technique. It allows for users to recover data with no file system allocation information to be extracted by identifying clusters and sectors belonging to the file. File Carving searches through the raw sectors looking for specific desired file signatures. 
file system,the method by which an operating system controls how data is stored on and retrieved from the hardware.
forensic computing,(also called digital forensics). A branch of forensic science that is concerned with obtaining legal evidence from computer systems. 
forensically sound,a term applied to forensic evidence that is that it is obtained in a rigorous way and so is likely to be acceptable to the courts. 
formatting (a disk),the act of preparing a computer storage device for use by a file system. Any data previously held on the device is made unavailable to the operating system and the device appears empty. 
fragmentation,an unwanted process in HDDs where computer files are split across a number of physical locations on a disk as the disk becomes full. Fragmentation slows down file access. 
hard delete,"a delete operation where the memory address of a file is removed from the file system and the clusters it occupied are released to the operating system to be reallocated. Until the space is reallocated, the content of a file (or fragments of the content) might still be recoverable from unallocated or slack space. (Compare with soft delete). "
hard disk,(also called HDD and hard disk drive) a data storage device used for storing and retrieving digital information using one or more rigid rapidly rotating disks (platters) coated with magnetic material.
hard disk drive,(also called HDD and hard disk) a data storage device used for storing and retrieving digital information using one or more rigid rapidly rotating disks (platters) coated with magnetic material. 
hash code,"(also called a hash) an identifier for a piece of information. Hashes are fixed-sized pieces of data generated from arbitrarily large files using mathematical processes. They are used to create digital fingerprints (as well as to authenticate data in many security applications, and to speed up access to very large databases). See also digital fingerprint. "
HDD,(also called hard disk drive or hard disk) a data storage device used for storing and retrieving digital information using one or more rigid rapidly rotating disks (platters) coated with magnetic material.
hex editor,"a piece of software that can be used to read and manipulate the fundamental binary data that constitutes a data file. It would be very difficult to read 0s and 1s, so it shows the contents of the disk, byte for byte, written in hexadecimal notation. "
image mounter,a piece of software that enables the operating system to read and write data to an image of a disk.
latent data (also called ambient data):,the data in slack space. 
logical size (of a file),the size of the content of a file. (Compare with physical size). 
live system imaging,the process of taking an image of the memory of a computer that is running. 
magic number,a constant numerical or text value used as a signature to identify a file format.
Master File Table (MFT),a table in a NTFS file system that holds information about where a file is stored on a HDD or SSD. 
memory dump,(also called RAM dump) a process in which the content of the memory is displayed and/or stored.
Metadata,"""Data about data"": information that accompanies a dataset but describes it rather than being part of it."
munge,"an attempt to create a stronger, more secure password through character substitution. Purportedly from Modify Until Not Guessed Easily. "
New Technology File System (NTFS),a file system commonly used in Windows computers.
overwriting,"(also called wiping or shredding). The process of obscuring sensitive information that might remain on a disk before disposal. New data, usually just all zeros or all ones, but sometimes a random pattern of both, is written to every part of the disk. This is a time-consuming process, especially if multiple overwrites are used. "
partition,"a section of a hard disk. When you format a hard disk, you can usually choose the number of partitions you want. Partitions are then seen as separate disks by the operating system. "
physical size (of a file),"the size of the disk storage that is allocated to store a file, which will always be a whole number of clusters. (Compare with logical size). "
RAM dump,(also called memory dump) a process in which the content of the memory is displayed and/or stored.
recycle bin,a folder in a Windows operating system that holds information about deleted files (see also trash).
rolodex,a type of physical desktop card index for storing data. 
sector,the smallest physical storage unit on a hard disk.In modern file systems it is almost always defined to be 512 bytes in size. 
shredding,"(also called overwriting and wiping).The process of obscuring sensitive information that might remain on a disk before disposal. New data, usually just all zeros or all ones, but sometimes a random pattern of both, is written to every part of the disk. This is a time-consuming process, especially if multiple overwrites are used."
slack space,the unused space in a disk cluster. The difference between the physical size and the logical size of a file.
soft delete,"a delete operation where the content of a file, and its metadata, are not physically removed from the disk, but rather this data is ""moved"" into the recycle bin or trash can, from which it can be restored to its original location if required. (Compare with hard delete). "
solid state drive,(also called SSD). A storage device that uses integrated circuit assemblies as memory to store data persistently. (Compare with hard disk drive). 
SSD,(also called solid state drive). A storage device that uses integrated circuit assemblies as memory to store data persistently. (Compare with hard disk drive).
steganography,"hiding data within other data, for example an image, in such a way that it cannot be easily detected by someone who does not know it is there. "
system log,"a file that contains events that are logged by the operating system, such as device changes, system changes, events, operations and more. "
track,a circular path on the surface of a hard disk on which data is stored. 
trash can,a folder in an Apple operating system and Linux that holds information about deleted files (see also recycle bin). 
timestamp,the time of an event as recorded by a computer. 
TRIM,control software that allows an operating system to inform a solid-state drive (SSD) which blocks of data are no longer considered in use and can be wiped internally. 
unallocated space,the space ona hard drive that is available for the operating system to write to. 
USB flash drive,a portable storage device that uses flash memory and is lightweight enough to attach to a keychain. 
wear-levelling,"a technique for prolonging the service life of some kinds of erasable computer storage media, such as flash memory, which is used in solid-state drives (SSDs) and USB flash drives. It does so by ensuing that every time a file is modified it is rewritten to a different physical locations across the whole of the SSD, selected at random. "
wiping,"(also called overwriting and shredding). The process of obscuring sensitive information that might remain on a disk before disposal. New data, usually just all zeros or all ones, but sometimes a random pattern of both, is written to every part of the disk. This is a time-consuming process, especially if multiple overwrites are used. "
write blocker,a tool that permits read-only access to data storage devices and so removes the risk of changing and thereby compromising the integrity of the data. 
dict / Python dictionary,"A python dictionary is a container object. It consists of key-value pairs. The notation for a dictionary is {key1: value1, key2: value2, ...}. "
key-value pair,Key-value pairs key: value are the main ingredients of a Python dictionary.
Interactive loop pattern,"This is a pattern that is 'interactive' because it relies on user input and it is a loop, because it allows a program to ask repeatedly for new input."
Advanced Encryption Standard (AES),A symmetric encryption algorithm approved by the United States government in 2002 as a long-term replacement for DES. AES can use keys of up to 256-bits and is much more secure than both DES and Triple DES. 
Asymmetric cryptography (public key cryptography),A subset of cryptography where encryption and decryption are each performed by different keys. 
Bitcoin,"A cryptocurrency invented by Satoshi Nakamoto in 2009 using strong cryptography, hashing and a distributed ledger to guarantee secure payments. "
Block,A permanent record of transactions conducted in the Bitcoin system. An individual block has a unique number and contains a reference to the preceding block as well as a list of transactions and the value for the nonce that allowed the block to be authenticated. Blocks are joined into a record known as a blockchain. 
Blockchain,"A distributed ledger of transactions composed of individual blocks. The blockchain was invented for the Bitcoin system, but its principles are now used in other applications where a complete, robust list of transactions is required. "
Brute force attack (encryption),The process of finding a valid key by exhaustively testing all possible key values. 
